"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLPRPUS","198011","68655","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198012","72117","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198013","829700","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198101","65927","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198102","70918","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198103","78266","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198104","36253","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198105","38100","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198106","61555","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198107","74076","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198108","78782","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198109","81720","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198110","85241","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198111","76577","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198112","76360","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198113","823775","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198201","67138","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198202","71169","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198203","83943","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198204","73587","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198205","71127","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198206","71720","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198207","60535","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198208","72898","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198209","67951","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198210","70852","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198211","64055","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198212","63136","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198213","838112","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198301","62731","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198302","60654","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198303","68896","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198304","61837","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198305","63209","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198306","61797","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198307","55213","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198308","73291","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198309","70312","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198310","71754","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198311","68684","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198312","63713","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198313","782091","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198401","67920.703","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198402","73670.035","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198403","81524.076","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198404","72750.843","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198405","81073.217","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198406","76401.923","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198407","74785.364","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198408","90822.681","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198409","78983.54","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198410","69785.374","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198411","64388.387","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198412","63814.624","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198413","895920.767","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198501","68260.779","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198502","67233.21","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198503","77743.695","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198504","76540.851","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198505","78382.309","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198506","73236.584","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198507","69228.241","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198508","79621.806","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198509","73976.804","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198510","80157.71","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198511","69267.606","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198512","69988.522","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198513","883638.117","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198601","78105.745","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198602","72489.181","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198603","77378.779","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198604","74680.129","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198605","72907.326","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198606","72413.498","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198607","67596.841","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198608","76292.842","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198609","74791.186","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198610","79890.737","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198611","70188.893","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198612","73579.551","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198613","890314.708","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198701","74681.2","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198702","71661.536","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198703","75856.664","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198704","71044.19","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198705","70706.998","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198706","77071.565","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198707","69773.853","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198708","80706.654","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198709","82477.037","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198710","85991.839","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198711","79241.878","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198712","79548.748","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198713","918762.162","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198801","75584.767","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198802","77053.604","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198803","84251.05","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198804","75623.196","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198805","74283.78","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198806","76737.962","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198807","69450.739","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198808","88575.753","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198809","83595.541","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198810","81241.029","1","Coal Production","Thousand Short Tons"
